city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
illapel,cl,2017-08-23 09:51:49,-71.17,-31.63,53.99,93.0,12.0,3.15
illoqqortoormiut,gl,2017-08-23 09:20:00,12.49,41.9,87.8,32.0,0.0,8.05
ilorin,ng,2017-08-23 09:51:49,4.55,8.5,81.35,66.0,88.0,7.85
ilulissat,gl,2017-08-23 08:50:00,-51.1,69.22,39.2,93.0,90.0,12.75
inhambane,mz,2017-08-23 09:51:50,35.38,-23.86,66.05,98.0,0.0,7.63
inza,ru,2017-08-23 09:51:50,46.36,53.85,79.73,29.0,56.0,10.42
iqaluit,ca,2017-08-23 09:00:00,-68.51,63.75,44.6,70.0,75.0,3.36
iquique,cl,2017-08-23 09:00:00,-70.14,-20.22,64.4,63.0,0.0,13.87
iralaya,hn,2017-08-23 09:51:51,-83.23,15.0,87.2,78.0,68.0,8.41
itacare,br,2017-08-23 09:51:51,-39.0,-14.28,76.49,85.0,80.0,12.77
itaituba,br,2017-08-23 09:51:51,-55.98,-4.28,88.28,62.0,44.0,2.93
itarema,br,2017-08-23 09:51:51,-39.95,-2.88,92.87,42.0,0.0,13.44
ituni,gy,2017-08-23 09:51:52,-58.33,5.5,94.67,47.0,20.0,3.15
itupeva,br,2017-08-23 09:00:00,-47.06,-23.15,78.8,47.0,0.0,2.24
izberbash,ru,2017-08-23 09:30:00,47.86,42.57,80.6,65.0,40.0,11.18
izhma,ru,2017-08-23 09:51:52,53.91,65.01,70.55,67.0,20.0,6.17
jalu,ly,2017-08-23 09:51:53,21.55,29.03,91.61,28.0,0.0,8.63
jamestown,sh,2017-08-23 09:51:53,-5.72,-15.94,68.48,100.0,8.0,13.0
jibuti,dj,2017-08-23 09:00:00,43.14,11.59,100.4,45.0,40.0,9.17
jijiga,et,2017-08-23 09:51:54,42.8,9.35,63.44,87.0,48.0,4.72
jizan,sa,2017-08-23 09:00:00,42.55,16.89,93.2,71.0,75.0,9.17
juru,br,2017-08-23 09:51:54,-37.82,-7.54,84.14,43.0,24.0,12.44
kadoma,zw,2017-08-23 09:51:54,29.92,-18.33,63.89,23.0,0.0,10.65
kalabo,zm,2017-08-23 09:51:55,22.68,-14.97,71.18,33.0,0.0,7.29
kambove,cd,2017-08-23 09:51:55,26.6,-10.88,67.4,40.0,0.0,5.39
karasjok,no,2017-08-23 09:20:00,25.51,69.47,48.2,81.0,75.0,11.41
karaul,ru,2017-08-23 09:51:55,48.35,58.31,71.9,53.0,0.0,9.98
kargasok,ru,2017-08-23 09:51:56,80.86,59.06,64.52,73.0,8.0,6.73
kasama,zm,2017-08-23 09:51:56,31.18,-10.21,66.5,38.0,0.0,5.17
kashi,cn,2017-08-23 09:51:56,75.98,39.45,54.89,93.0,48.0,1.36
kasulu,tz,2017-08-23 09:51:57,30.1,-4.58,71.27,57.0,0.0,3.15
kavaratti,in,2017-08-23 09:51:57,72.64,10.57,79.64,100.0,56.0,10.87
key west,us,2017-08-23 09:10:00,-81.78,24.56,86.0,79.0,40.0,5.82
khanpur,pk,2017-08-23 09:51:57,70.66,28.65,89.09,68.0,0.0,5.06
